Year,GLD,WTI,CPER,KOL,SP500,CPI,EPU,UST10Y,USDINR,BRENT_diff
2013-03-01,152.4400024,90.68000031,24.43000031,233.3000031,1518.199951,232.773,324.04,1.86,54.9,-6.360000599999992
2013-04-01,154.6699982,97.06999969,24.01000023,224.6999969,1562.170044,232.531,104.12,1.86,54.28,0.6800003000000032
2013-05-01,141.1100006,91.02999878,21.17000008,214.0,1582.699951,232.945,74.13,1.66,53.65,-11.130004850000006
2013-06-01,130.95622843114754,94.56704749278688,21.393606906721313,195.09508354262294,1599.0943823114756,233.27583606557377,76.31524590163934,2.086885245901639,56.561967213114755,-3.9237713270491827
2013-07-01,121.1299973,97.98999786,21.61000061,176.8000031,1614.959961,233.596,78.43,2.5,59.38,3.050003050000001
2013-08-01,126.6100006,107.8899994,21.71999931,179.6999969,1706.869995,233.877,92.95,2.74,60.45,6.5400008999999955
2013-09-01,125.58344103770492,104.91704934262295,22.085901569344262,185.34098365737705,1700.8377024590163,233.7087868852459,183.82573770491803,2.699344262295082,61.47147540983607,2.4032798934426216
2013-10-01,124.5899963,102.0400009,22.44000053,190.8000031,1695.0,233.546,271.77,2.66,62.46,-1.599998499999998
2013-11-01,126.9499969,94.61000061,22.51000023,200.3999939,1761.640015,233.069,45.43,2.65,61.84,-2.029998699999993
2013-12-01,126.24271262847682,95.62920536165564,22.128543260463577,197.3403924629139,1786.2519365231788,233.86429801324502,52.024039735099336,2.673841059602649,61.446622516556296,-1.6843037927152271
2014-01-01,125.51185221456953,96.68238360503311,21.734371058609273,194.1788043112583,1811.6842554304635,234.68610596026488,58.83788079470199,2.698476821192053,61.04013245033113,-1.327085721854302
2014-02-01,124.78099180066225,97.7355618484106,21.340198856754967,191.01721615960264,1837.1165743377483,235.50791390728477,65.65172185430464,2.723112582781457,60.63364238410596,-0.969867650993377
2014-03-01,124.12085981390727,98.68681961662251,20.984172351854305,188.16158815165562,1860.0877010927152,236.25019205298014,71.80615894039735,2.745364238410596,60.26649006622517,-0.6472190708609289
2014-04-01,123.3899994,99.73999786,20.59000015,185.0,1885.52002,237.072,78.62,2.77,59.86,-0.29000100000000373
2014-05-01,123.8000031,99.41999817,20.45000076,190.6999969,1883.680054,237.9,70.5,2.63,60.11,2.1399993999999936
2014-06-01,125.78196716229508,102.42852180983607,21.034426796393443,188.92130837540984,1929.2347532131148,238.077868852459,82.71196721311476,2.604590163934426,60.07950819672131,3.3545892590163913
2014-07-01,127.6999969,105.3399963,21.60000038,187.1999969,1973.319946,238.25,94.53,2.58,60.05,4.529998800000001
2014-08-01,124.3799973,97.87999725,21.80999947,188.5,1925.150024,237.852,53.1,2.52,61.2,-7.4500046
2014-09-01,120.51261989508197,94.24639379770491,21.042622303934426,178.64098670655738,1935.8272421967213,237.6390655737705,56.00688524590164,2.469180327868852,61.45918032786886,-9.091473931803275
2014-10-01,116.7699966,90.73000336,20.29999924,169.1000061,1946.160034,237.433,58.82,2.42,61.71,-10.679992639999995
2014-11-01,116.67344186557378,79.68688689836065,19.852786552131146,162.87459626393442,2000.679331,236.10101639344262,47.84295081967213,2.318360655737705,61.826885245901636,-16.239669903934427
2014-12-01,116.5800018,69.0,19.42000008,156.8500061,2053.439941,234.812,37.22,2.22,61.94,-21.620002740000004
2015-01-01,116.32892657438016,64.1552892946281,19.166363775289255,150.71405256115702,2055.0411806694215,235.269826446281,49.5303305785124,2.130330578512397,61.99123966942149,-20.036696880578514
2015-02-01,116.07785134876033,59.310578589256195,18.912727470578513,144.57809902231406,2056.642420338843,235.727652892562,61.8406611570248,2.0406611570247937,62.04247933884297,-18.453391021157024
